LABEL	RC	OUT_B	ERR_B	OUT_FIRST	ERR_FIRST	ARGS
upgrade.noproj	1	0	125		error: could not detect a project version (not an Intent project, or an unrecognised layout). For a new project: intent init	upgrade
bootstrap.bare	0	1161	0	bootstrap: intent v2.0.0		bootstrap
bootstrap.help	0	399	0	Usage: intent_bootstrap [OPTIONS]		bootstrap --help
bootstrap.badflag	1	0	66		Unknown option: --zzz-not-a-flag	bootstrap --zzz-not-a-flag
bootstrap.noproj	0	982	0	bootstrap: intent v2.0.0		bootstrap
st_zero.bare	0	879	0	Usage: intent st zero install [options]		st_zero
st_zero.help	0	879	0	Usage: intent st zero install [options]		st_zero --help
st_zero.badflag	1	0	87		error: Unknown st zero command: --zzz-not-a-flag. Run 'intent st zero help' for usage.	st_zero --zzz-not-a-flag
st_zero.noproj	1	0	115		error: not in an Intent project directory	st_zero
agents.bare	0	984	0	Usage: intent agents <command> [options]		agents
agents.help	0	984	0	Usage: intent agents <command> [options]		agents --help
agents.badflag	1	1018	0	Unknown command: --zzz-not-a-flag		agents --zzz-not-a-flag
agents.noproj	0	984	0	Usage: intent agents <command> [options]		agents
claude.bare	1	0	189		error: Unknown claude subcommand. Try: intent claude subagents, intent claude skills, intent claude upgrade, intent claude prime, intent claude rules, intent claude start, intent claude ws	claude
claude.help	1	0	189		error: Unknown claude subcommand. Try: intent claude subagents, intent claude skills, intent claude upgrade, intent claude prime, intent claude rules, intent claude start, intent claude ws	claude --help
claude.badflag	1	0	189		error: Unknown claude subcommand. Try: intent claude subagents, intent claude skills, intent claude upgrade, intent claude prime, intent claude rules, intent claude start, intent claude ws	claude --zzz-not-a-flag
claude.noproj	1	0	189		error: Unknown claude subcommand. Try: intent claude subagents, intent claude skills, intent claude upgrade, intent claude prime, intent claude rules, intent claude start, intent claude ws	claude
version.bare	0	22	0	Intent version 2.19.0		version
version.help	0	22	0	Intent version 2.19.0		version --help
version.badflag	0	22	0	Intent version 2.19.0		version --zzz-not-a-flag
version.noproj	0	22	0	Intent version 2.19.0		version
